indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6
580,41.0,R Grounded Pass,65:18:18,65:20:18,65:21:18,,G2,f3,TG,f7,,
581,42.0,R Grounded Pass,65:32:23,65:34:23,65:35:23,,TB,g9,B4,f9,,
582,2.0,L Unsucc Pass,65:38:00,65:40:00,65:41:00,,B4,h9,TB,b2,,
583,43.0,R Grounded Pass,65:43:22,65:45:22,65:46:22,,B4,h9,B6,a4,,
584,4.0,R Shot Wide,65:45:09,65:47:09,65:48:09,,B6,a3,OT 8,,,
585,44.0,R Grounded Pass,66:00:11,66:02:11,66:03:11,,B4,d9,B6,a4,,
586,45.0,R Grounded Pass,66:03:20,66:05:20,66:06:20,,B6,c4,B4,d9,,
587,46.0,R Grounded Pass,66:10:06,66:12:06,66:13:06,,TG,b5,G2,a4,,
588,10.0,R Unsucc Pass,66:19:03,66:21:03,66:22:03,,B6,g2,B4,f4,,
589,47.0,R Grounded Pass,66:26:09,66:28:09,66:29:09,,TG,a8,G2,d7,,
590,48.0,R Grounded Pass,66:28:20,66:30:20,66:31:20,,G2,d7,TG,g10,,
591,49.0,R Grounded Pass,66:37:18,66:39:18,66:40:18,,B6,i4,TB,g8,,
592,10.0,L Grounded Pass,66:40:01,66:42:01,66:43:01,,TB,g6,B4,c4,,
593,5.0,R Shot Wide,66:41:22,66:43:22,66:44:22,,B4,c4,OT 8,,,
594,50.0,R Grounded Pass,66:47:24,66:49:24,66:50:24,,G2,h4,TG,g3,,
595,51.0,R Grounded Pass,66:53:10,66:55:10,66:56:10,,TG,h4,G2,i6,,
596,52.0,R Grounded Pass,66:54:21,66:56:21,66:57:21,,G2,i6,TG,g5,,
597,3.0,L Unsucc Pass,66:57:02,66:59:02,67:00:02,,TG,g5,G2,h9,,
598,11.0,L Grounded Pass,66:59:08,67:01:08,67:02:08,,B6,g11,TB,i7,,
599,11.0,R Unsucc Pass,67:19:11,67:21:11,67:22:11,,TG,f8,G2,e12,,
600,12.0,L Grounded Pass,67:28:20,67:30:20,67:31:20,,B4,e7,TB,g3,,
601,1.0,L Shot On,67:31:05,67:33:05,67:34:05,,B4,f6,s9,,,
602,53.0,R Grounded Pass,67:34:20,67:36:20,67:37:20,,B4,e5,TB,f4,,
603,12.0,R Unsucc Pass,68:05:08,68:07:08,68:08:08,,B4,f7,TB,g3,,
604,13.0,R Unsucc Pass,68:30:20,68:32:20,68:33:20,,TG,g3,G2,g11,,
605,54.0,R Grounded Pass,68:39:00,68:41:00,68:42:00,,B5,f8,TB,h3,,
606,55.0,R Grounded Pass,68:42:23,68:44:23,68:45:23,,TB,h3,B4,a9,,
607,4.0,L Unsucc Pass,68:55:06,68:57:06,68:58:06,,B5,g4,TB,c2,,
608,9.0,R Goal,68:58:12,69:00:12,69:01:12,,TB,e1,s16,,,
609,56.0,R Grounded Pass,69:18:22,69:20:22,69:21:22,,TG,g3,G2,c5,,
610,57.0,R Grounded Pass,69:27:01,69:29:01,69:30:01,,G2,e5,TG,h11,,
611,58.0,R Grounded Pass,69:35:06,69:37:06,69:38:06,,B4,f11,TB,e7,HLs,
612,59.0,R Grounded Pass,69:36:06,69:38:06,69:39:06,,TB,e7,B4,h5,,
613,2.0,L Shot On,69:37:10,69:39:10,69:40:10,,B4,i3,s8,,,
614,60.0,R Grounded Pass,69:47:07,69:49:07,69:50:07,,TG,e7,TG,c11,Through Ball,
615,61.0,R Grounded Pass,70:02:04,70:04:04,70:05:04,,TB,g10,B6,e11,,
616,62.0,R Grounded Pass,70:03:20,70:05:20,70:06:20,,B6,e12,TB,e8,,
617,63.0,R Grounded Pass,70:39:13,70:41:13,70:42:13,,TG,a5,G2,e8,,
618,14.0,R Unsucc Pass,70:41:01,70:43:01,70:44:01,,G2,e8,TG,b10,,
619,64.0,R Grounded Pass,71:19:17,71:21:17,71:22:17,,TG,c4,G2,d8,,
620,65.0,R Grounded Pass,71:23:00,71:25:00,71:26:00,,G2,d8,TG,h11,,
621,66.0,R Grounded Pass,71:39:18,71:41:18,71:42:18,,TG,h10,G2,e9,,
622,67.0,R Grounded Pass,71:41:09,71:43:09,71:44:09,,G2,f9,TG,e9,,
623,68.0,R Grounded Pass,72:01:20,72:03:20,72:04:20,,TB,f10,B6,e10,,
624,69.0,R Grounded Pass,72:04:24,72:06:24,72:07:24,,B6,e10,B4,i7,,
625,70.0,R Grounded Pass,72:32:01,72:34:01,72:35:01,,TG,c7,G2,f7,,
626,71.0,R Grounded Pass,72:35:00,72:37:00,72:38:00,,G2,f9,TG,c11,,
627,6.0,R Shot Wide,72:57:08,72:59:08,73:00:08,,B4,c10,OT 5,,,
628,5.0,L Unsucc Pass,73:25:22,73:27:22,73:28:22,,B4,h4,TB,c3,,
629,72.0,R Grounded Pass,73:29:24,73:31:24,73:32:24,,TG,d4,G2,a10,,
630,15.0,R Unsucc Pass,73:39:05,73:41:05,73:42:05,,G2,g10,TG,b12,,
631,73.0,R Grounded Pass,73:45:09,73:47:09,73:48:09,,B4,f9,TB,g6,,
632,10.0,R Goal,73:51:00,73:53:00,73:54:00,,B5,c3,s3,,,
633,1.0,R Grounded Pass,00:54:12,00:56:12,00:57:12,,TB,e6,B2,e3,,
634,2.0,R Grounded Pass,00:55:21,00:57:21,00:58:21,,B2,e3,TB,b3,,
635,1.0,L Grounded Pass,00:58:24,01:00:24,01:01:24,,TB,e1,B2,g3,,
636,3.0,R Grounded Pass,00:59:24,01:01:24,01:02:24,,B2,g3,TB,c3,,
637,2.0,L Grounded Pass,01:02:22,01:04:22,01:05:22,,TB,b3,B2,h4,,
638,4.0,R Grounded Pass,01:04:12,01:06:12,01:07:12,,B2,h3,TB,e4,,
639,1.0,L Goal,01:11:01,01:13:01,01:14:01,,TB,d9,s8,,,
640,5.0,R Grounded Pass,01:23:21,01:25:21,01:26:24,,G5,d11,TG,e7,Through Ball,
641,6.0,R Grounded Pass,01:41:06,01:43:06,01:44:06,,TB,b11,B2,f6,,
642,7.0,R Grounded Pass,01:42:06,01:44:06,01:45:06,,B2,f6,TB,g10,,
643,1.0,R Goal,01:43:16,01:45:16,01:46:16,,TB,d11,s10,,,
644,8.0,R Grounded Pass,02:17:01,02:19:01,02:20:01,,TG,g9,G5,c10,,
645,9.0,R Grounded Pass,02:31:12,02:33:12,02:34:12,,TB,h8,B2,f9,,
646,10.0,R Grounded Pass,02:32:06,02:34:06,02:35:06,,B2,e3,TB,h3,,
647,1.0,R Unsucc Pass,02:32:08,02:34:08,02:35:08,,B2,f9,TB,f11,,
648,3.0,L Grounded Pass,02:35:15,02:37:15,02:38:15,,B2,e9,TB,c10,,
649,2.0,L Goal,02:41:23,02:43:23,02:44:23,,G5,d3,s20,Solo Goal,,
650,2.0,R Goal,03:08:05,03:10:05,03:11:05,,TG,d1,s22,,,
651,4.0,L Grounded Pass,03:27:00,03:29:00,03:30:00,,TB,b10,B2,g11,,
652,11.0,R Grounded Pass,03:33:07,03:35:07,03:36:07,,B2,h10,TB,e9,,
653,12.0,R Grounded Pass,03:38:08,03:40:08,03:41:08,,B2,h10,TB,g3,,
654,13.0,R Grounded Pass,03:45:05,03:47:05,03:48:05,,TB,a2,B2,g7,,
655,2.0,R Unsucc Pass,03:48:03,03:50:03,03:51:03,,B2,e6,TB,i4,,
656,14.0,R Grounded Pass,03:58:06,04:00:06,04:01:06,,TB,h3,B2,i8,,
657,15.0,R Grounded Pass,04:03:06,04:05:06,04:06:06,,B2,h9,TB,b9,,
658,16.0,R Grounded Pass,04:15:04,04:17:04,04:18:04,,TB,f3,B2,h5,,
659,17.0,R Grounded Pass,04:17:20,04:19:20,04:20:20,,B2,h5,TB,a7,,
660,1.0,R Shot On,04:28:16,04:30:16,04:31:16,,B2,h10,s16,,,
661,3.0,R Unsucc Pass,04:45:22,04:47:22,04:48:22,,TB,i9,B2,f8,,
662,18.0,R Grounded Pass,04:54:12,04:56:12,04:57:12,,TB,d3,B2,e3,,
663,19.0,R Grounded Pass,04:56:01,04:58:01,04:59:01,,B2,e3,TB,c4,,
664,20.0,R Grounded Pass,05:02:03,05:04:03,05:05:03,,G5,b10,TG,d3,,
665,4.0,R Unsucc Pass,05:18:07,05:20:07,05:21:07,,TB,g8,B2,f11,,
666,21.0,R Grounded Pass,05:19:15,05:21:15,05:22:15,,TG,g10,G5,d9,,
667,1.0,L Unsucc Pass,05:26:17,05:28:17,05:29:17,,TB,c10,B2,f11,,
668,22.0,R Grounded Pass,05:37:24,05:39:24,05:40:24,,B2,i9,TB,h3,,
669,23.0,R Grounded Pass,06:00:21,06:02:21,06:03:21,,B2,g3,TB,e1,,
670,5.0,L Grounded Pass,06:47:17,06:49:17,06:50:17,,B2,g2,TB,b2,,
671,3.0,L Goal,07:13:09,07:15:09,07:16:09,,TG,f7,s23,Long Range,,
672,6.0,L Grounded Pass,07:21:06,07:23:06,07:24:06,,B2,f4,TB,i4,,
673,24.0,R Grounded Pass,07:26:16,07:28:16,07:29:16,,G5,h8,TG,g8,,
674,25.0,R Grounded Pass,07:26:21,07:28:21,07:29:21,,TG,g8,G5,h6,,
675,7.0,L Grounded Pass,07:31:12,07:33:12,07:34:12,,B2,g4,TB,a3,,
676,26.0,R Grounded Pass,07:35:17,07:37:17,07:38:17,,TB,c4,B2,i7,,
677,2.0,R Shot On,07:38:03,07:40:03,07:41:03,,B2,h8,s16,,,
678,27.0,R Grounded Pass,07:42:14,07:44:14,07:45:14,,TB,f8,B2,g10,,
679,4.0,L Goal,08:04:10,08:06:10,08:07:10,,TB,f12,s14,,,
680,5.0,R Unsucc Pass,08:29:04,08:31:04,08:32:04,,G5,a10,TG,a4,,
681,28.0,R Grounded Pass,08:32:09,08:34:09,08:35:09,,G5,a10,TG,f10,,
682,29.0,R Grounded Pass,08:40:23,08:42:23,08:43:23,,B2,e4,TB,d4,,
683,30.0,R Grounded Pass,08:41:23,08:43:23,08:44:23,,TB,d4,B2,e4,,
684,31.0,R Grounded Pass,08:43:15,08:45:15,08:46:15,,B2,e4,TB,g3,,
685,32.0,R Grounded Pass,09:12:17,09:14:17,09:15:17,,TB,i5,B2,f7,,
686,6.0,R Unsucc Pass,09:14:02,09:16:02,09:17:02,,B2,f8,TB,a9,,
687,33.0,R Grounded Pass,09:22:03,09:24:03,09:25:03,,TG,e11,G5,g10,,
688,34.0,R Grounded Pass,09:22:23,09:24:23,09:25:23,,G5,g10,TG,e12,,
689,3.0,R Goal,09:26:09,09:28:09,09:29:09,,B2,f10,s23,,,
690,35.0,R Grounded Pass,09:43:05,09:45:05,09:46:05,,TB,a10,B2,f10,,
691,4.0,R Goal,09:44:09,09:46:09,09:47:09,,B2,g10,s13,HLs,,
692,3.0,R Shot On,10:00:24,10:02:24,10:03:24,,B2,h11,s11,,,
693,36.0,R Grounded Pass,10:18:04,10:20:04,10:21:04,,TB,g5,B2,g9,,
694,2.0,L Unsucc Pass,10:19:12,10:21:12,10:22:12,,B2,g9,TB,i9,,
695,37.0,R Grounded Pass,10:37:01,10:39:01,10:40:01,,G5,c9,TG,a6,,
696,38.0,R Grounded Pass,10:45:01,10:47:01,10:48:01,,B2,b3,TB,c4,,
697,8.0,L Grounded Pass,11:00:09,11:02:09,11:03:09,,TG,a3,G5,b4,,
698,1.0,R Shot Wide,11:01:17,11:03:17,11:04:17,,G5,b5,OT 5,,,
699,1.0,H Shot On,11:58:14,12:00:14,12:01:14,,TG,c2,s17,HLs,,
700,39.0,R Grounded Pass,12:26:07,12:28:07,12:29:07,,TG,e9,G5,a8,,
701,7.0,R Unsucc Pass,12:28:21,12:30:21,12:31:21,,G5,a8,TG,f4,,
702,5.0,L Goal,13:26:02,13:28:02,13:29:02,,TB,c11,s9,,,
703,9.0,L Grounded Pass,13:44:12,13:46:12,13:47:12,,TG,g10,G5,e12,,
704,40.0,R Grounded Pass,13:47:10,13:49:10,13:50:10,,G5,e12,TG,a10,,
705,6.0,L Goal,14:49:21,14:51:21,14:52:21,,TG,e3,s21,,,
706,41.0,R Grounded Pass,15:58:01,16:00:01,16:01:01,,G5,c2,TG,f2,,
707,5.0,R Goal,15:58:13,16:00:13,16:01:13,,TG,f2,s14,Tap In,Big Chance,
708,10.0,L Grounded Pass,16:15:10,16:17:10,16:18:10,,TG,f2,G5,d3,,
709,4.0,R Shot On,16:18:13,16:20:13,16:21:13,,G5,d3,s11,,,
710,6.0,R Goal,16:23:01,16:25:01,16:26:01,,TG,f2,s24,,,
711,1.0,R Aerial Pass,16:39:02,16:41:02,16:42:02,,TG,g4,TG,c2,HLs,
712,11.0,L Grounded Pass,16:44:02,16:46:02,16:47:02,,TG,b2,G5,a6,,
713,2.0,R Shot Wide,16:47:00,16:49:00,16:50:00,,G5,a6,OT 4,,,
714,42.0,R Grounded Pass,17:00:02,17:02:02,17:03:02,,TG,e12,G5,a9,,
715,8.0,R Unsucc Pass,17:03:19,17:05:19,17:06:19,,G5,a9,TG,a5,,
716,7.0,L Goal,17:54:03,17:56:03,17:57:03,,TG,f2,s20,,,
717,43.0,R Grounded Pass,18:21:03,18:23:03,18:24:03,,G5,b8,TG,b3,,
718,3.0,R Shot Wide,18:25:01,18:27:01,18:28:01,,G5,c8,OT 4,,,
719,44.0,R Grounded Pass,18:56:10,18:58:10,18:59:10,,G5,b11,TG,d12,,
720,7.0,R Goal,19:09:12,19:11:12,19:12:12,,TG,f1,s21,,,
721,9.0,R Unsucc Pass,19:51:16,19:53:16,19:54:16,,TG,i9,G5,i3,,
722,45.0,R Grounded Pass,20:08:14,20:10:14,20:11:14,,TG,g3,G5,c4,,
723,46.0,R Grounded Pass,20:11:04,20:13:04,20:14:04,,G5,c4,TG,e5,,
724,12.0,L Grounded Pass,20:16:06,20:18:06,20:19:06,,TG,a2,G5,b4,,
725,47.0,R Grounded Pass,20:21:24,20:23:24,20:27:23,,G5,a3,TG,c12,,
726,48.0,R Grounded Pass,20:48:08,20:50:08,20:51:08,,G5,b4,TG,f3,,
727,1.0,L Shot Wide,20:50:20,20:52:20,20:53:20,,TG,f3,OT 8,HLs,,
728,49.0,R Grounded Pass,21:03:14,21:05:14,21:06:14,,G5,a5,TG,d4,,
729,1.0,R Grounded Pass,39:59:18,40:01:18,40:02:18,,TG,h11,G5,h2,,
730,2.0,R Grounded Pass,40:00:17,40:02:17,40:03:17,,G5,h2,TG,f6,,
731,1.0,R Unsucc Pass,40:09:18,40:11:18,40:13:20,,B3,e3,B4,b8,,
732,3.0,R Grounded Pass,40:19:20,40:21:20,40:22:20,,G5,f7,TG,a8,,
733,4.0,R Grounded Pass,40:27:05,40:29:05,40:30:05,,B5,e1,B1,d2,,
734,5.0,R Grounded Pass,40:30:05,40:32:05,40:33:05,,B1,d1,TB,a4,,
735,6.0,R Grounded Pass,40:32:11,40:34:11,40:35:11,,TB,a4,B4,a9,,
736,1.0,L Shot On,40:35:23,40:37:23,40:38:23,,B4,b10,s14,,,
737,1.0,L Grounded Pass,40:46:04,40:48:04,40:49:04,,TB,c9,B4,e10,,
738,7.0,R Grounded Pass,40:50:08,40:52:08,40:53:08,,B4,e8,B3,g10,,
739,1.0,R Shot On,40:50:19,40:52:19,40:53:19,,B3,g10,s11,,,
740,2.0,L Grounded Pass,40:55:00,40:57:00,40:58:00,,B3,i11,TB,a6,,
741,1.0,L Shot Wide,41:08:03,41:10:03,41:11:03,,B3,g9,OT 8,HLs,,
742,1.0,R Goal,41:21:15,41:23:15,41:24:15,,B4,f10,s16,,,
743,8.0,R Grounded Pass,41:30:05,41:32:05,41:33:05,,TG,g9,G5,g6,,
744,9.0,R Grounded Pass,41:30:20,41:32:20,41:33:20,,G5,g6,TG,i5,,
745,10.0,R Grounded Pass,41:32:13,41:34:13,41:35:13,,TG,i5,G5,f5,,
746,11.0,R Grounded Pass,41:34:13,41:36:13,41:37:13,,G5,f5,TG,c5,,
747,12.0,R Grounded Pass,41:35:22,41:37:22,41:38:22,,G4,b4,G5,e3,,
748,2.0,R Goal,41:37:00,41:39:00,41:40:00,,G5,e3,s19,,,
749,3.0,L Grounded Pass,41:42:13,41:44:13,41:45:13,,TB,a3,B3,c2,,
750,2.0,R Unsucc Pass,41:45:15,41:47:15,41:48:15,,B3,c2,B4,d9,,
751,13.0,R Grounded Pass,41:51:12,41:53:12,41:54:12,,TG,g10,G5,d7,,
752,14.0,R Grounded Pass,41:52:07,41:54:07,41:55:07,,G5,d7,TG,c10,,
753,3.0,R Unsucc Pass,41:54:23,41:56:23,41:57:23,,TG,b9,G5,b2,,
754,4.0,L Grounded Pass,42:23:19,42:25:19,42:26:19,,TG,f9,G5,e8,,
755,15.0,R Grounded Pass,42:26:24,42:28:24,42:29:24,,G5,d7,TG,f5,,
756,16.0,R Grounded Pass,42:44:02,42:46:02,42:47:02,,TB,b2,B3,i6,,
757,17.0,R Grounded Pass,42:49:15,42:51:15,42:52:15,,TG,a9,G5,a4,,
758,18.0,R Grounded Pass,42:53:17,42:55:17,42:56:17,,G5,a4,TG,g4,,
759,2.0,L Shot On,42:59:09,43:01:09,43:02:09,,G4,f2,s8,,,
760,19.0,R Grounded Pass,43:02:09,43:04:09,43:05:09,,B5,e1,TB,b2,,
761,20.0,R Grounded Pass,43:08:15,43:10:15,43:11:15,,TB,b2,B4,e3,,
762,1.0,R Shot Wide,43:14:02,43:16:02,43:17:02,,B4,f10,OT 7,,,
763,2.0,R Shot On,43:31:00,43:33:00,43:34:00,,B4,d9,s15,,,
764,21.0,R Grounded Pass,43:34:14,43:36:14,43:37:14,,TG,d6,G5,e2,Through Ball,
765,3.0,R Shot On,43:37:12,43:39:12,43:40:12,,G5,d3,s16,,,
766,3.0,R Goal,43:38:15,43:40:15,43:41:15,,G5,d3,s19,,,
767,22.0,R Grounded Pass,43:51:10,43:53:10,43:54:10,,B1,e4,TB,a3,,
768,23.0,R Grounded Pass,43:53:14,43:55:14,43:56:14,,TB,a3,B3,g3,,
769,24.0,R Grounded Pass,43:56:01,43:58:01,43:59:01,,B3,h4,B4,c8,,
770,1.0,R Aerial Pass,44:03:06,44:05:06,44:06:06,,G3,c10,G5,g2,,
771,4.0,R Unsucc Pass,44:06:23,44:08:23,44:09:23,,G5,g2,TG,h9,,
772,5.0,L Grounded Pass,44:17:04,44:19:04,44:20:04,,G5,i4,TG,i9,,
773,25.0,R Grounded Pass,44:24:08,44:26:08,44:27:08,,TG,g5,G5,g2,,
774,26.0,R Grounded Pass,44:26:21,44:28:21,44:29:21,,G5,g2,TG,e2,,
775,4.0,R Goal,44:27:07,44:29:07,44:30:07,,TG,e2,s16,,,
776,27.0,R Grounded Pass,44:41:16,44:43:16,44:44:16,,TB,a4,B1,c9,,
777,5.0,R Unsucc Pass,44:43:22,44:45:22,44:46:22,,B1,c8,TB,a5,,
778,6.0,L Grounded Pass,44:47:15,44:49:15,44:50:15,,G4,b9,G5,e6,,
779,28.0,R Grounded Pass,44:48:22,44:50:22,44:51:22,,G5,e6,TG,c4,,
780,2.0,R Aerial Pass,44:58:24,45:00:24,45:01:24,,B5,f6,B1,g8,,
781,29.0,R Grounded Pass,45:20:05,45:22:05,45:23:05,,B3,g8,B1,g11,,
782,30.0,R Grounded Pass,45:23:17,45:25:17,45:26:17,,B1,h10,B3,f9,,
783,4.0,R Shot On,45:26:20,45:28:20,45:29:20,,B3,f9,s10,,,
784,31.0,R Grounded Pass,45:44:15,45:46:15,45:47:15,,B5,a10,TB,a8,,
785,32.0,R Grounded Pass,45:46:10,45:48:10,45:49:10,,TB,a8,B5,a10,,
786,6.0,R Unsucc Pass,45:49:01,45:51:01,45:52:01,,B5,a10,TB,d11,,
787,33.0,R Grounded Pass,45:52:09,45:54:09,45:55:09,,B5,a10,B1,e7,,
788,5.0,R Shot On,45:55:14,45:57:14,45:58:14,,B1,f8,s16,,,
789,34.0,R Grounded Pass,46:10:09,46:12:09,46:13:09,,TG,b5,G5,g3,,
790,35.0,R Grounded Pass,46:12:08,46:14:08,46:15:08,,G5,h3,TG,g5,,
791,36.0,R Grounded Pass,46:15:12,46:17:12,46:18:12,,B5,f5,B1,g6,,
792,37.0,R Grounded Pass,46:17:22,46:19:22,46:20:22,,TB,d3,B1,g7,,
793,38.0,R Grounded Pass,46:20:16,46:22:16,46:23:16,,B1,g7,B3,g3,,
794,7.0,R Unsucc Pass,46:22:22,46:24:22,46:25:22,,B3,g3,B5,d9,,
795,6.0,R Shot On,46:35:09,46:37:09,46:38:09,,B5,c10,s8,Big Chance,,
796,39.0,R Grounded Pass,46:35:22,46:37:22,46:38:22,,B1,g6,B5,c10,,
797,40.0,R Grounded Pass,46:59:08,47:01:08,47:02:08,,TG,d9,G5,g10,,
798,41.0,R Grounded Pass,47:01:17,47:03:17,47:04:17,,G5,g9,TG,f10,,
799,8.0,R Unsucc Pass,47:10:18,47:12:18,47:13:18,,B3,i4,B5,d8,,
800,7.0,R Shot On,47:16:20,47:18:20,47:19:20,,B3,h3,s18,,,
801,1.0,R Shot Post,47:45:01,47:47:01,47:48:01,,G4,f1,s18,,,
802,42.0,R Grounded Pass,47:46:17,47:48:17,47:49:17,,TG,g1,G5,g4,,
803,1.0,L Unsucc Pass,47:54:24,47:56:24,47:57:24,,B3,h1,B5,h8,,
804,43.0,R Grounded Pass,47:57:06,47:59:06,48:00:06,,G5,g5,TG,g2,,
805,44.0,R Grounded Pass,48:09:07,48:11:07,48:12:07,,B4,e1,TB,b3,,
806,45.0,R Grounded Pass,48:11:07,48:13:07,48:14:07,,B2,b3,B5,c8,,
807,9.0,R Unsucc Pass,48:14:00,48:16:00,48:17:00,,B5,d8,B1,b10,,
808,46.0,R Grounded Pass,48:17:04,48:19:04,48:20:04,,TG,d8,G5,e2,Through Ball,
809,8.0,R Shot On,48:18:18,48:20:18,48:21:18,,G5,d2,s16,Big Chance,,
810,10.0,R Unsucc Pass,48:20:05,48:22:05,48:23:05,,G5,b2,TG,e1,,
811,11.0,R Unsucc Pass,48:26:06,48:28:06,48:29:06,,B2,c2,B5,g10,,
812,47.0,R Grounded Pass,48:32:18,48:34:18,48:35:18,,TG,b10,G5,e8,,
813,48.0,R Grounded Pass,48:33:13,48:35:13,48:36:13,,G5,e8,TG,e12,,
814,49.0,R Grounded Pass,48:43:15,48:45:15,48:46:15,,B5,g8,TB,a7,,
815,50.0,R Grounded Pass,48:44:18,48:46:18,48:47:18,,TB,a7,B1,c9,,
816,2.0,L Unsucc Pass,48:46:03,48:48:03,48:49:03,,B1,c8,TB,a9,,
817,12.0,R Unsucc Pass,48:59:23,49:01:23,49:02:23,,TG,c3,G5,f1,,
818,13.0,R Unsucc Pass,49:11:16,49:13:16,49:14:16,,B3,b1,B1,f8,,
819,51.0,R Grounded Pass,49:17:14,49:19:14,49:20:14,,G5,g11,TG,i2,,
820,52.0,R Grounded Pass,49:21:18,49:23:18,49:24:18,,TG,i3,G5,h10,,
821,53.0,R Grounded Pass,49:22:22,49:24:22,49:25:22,,G5,h10,TG,g8,,
822,54.0,R Grounded Pass,49:29:09,49:31:09,49:32:09,,TG,d10,G5,i10,,
823,55.0,R Grounded Pass,49:29:13,49:31:13,49:32:13,,G5,i9,TG,i11,,
824,9.0,R Shot On,49:33:23,49:35:23,49:36:23,,G3,g6,s9,,,
825,3.0,L Unsucc Pass,49:46:01,49:48:01,49:49:01,,B4,c2,TB,b10,,
826,10.0,R Shot On,49:49:16,49:51:16,49:52:16,,B1,f9,s22,,,
827,2.0,R Shot Wide,49:56:22,49:58:22,49:59:22,,B5,c10,OT 8,,,
828,56.0,R Grounded Pass,50:11:00,50:13:00,50:14:00,,TG,g7,G5,g4,,
829,14.0,R Unsucc Pass,50:13:13,50:15:13,50:16:13,,G5,e5,TG,a3,,
830,57.0,R Grounded Pass,50:41:14,50:43:14,50:44:14,,TG,c8,G5,d6,,
831,58.0,R Grounded Pass,50:42:13,50:44:13,50:45:13,,G5,d6,TG,b5,,
832,11.0,R Shot On,50:55:11,50:57:11,50:58:11,,B5,e9,s4,,,
833,59.0,R Grounded Pass,51:06:20,51:08:20,51:09:20,,B3,f8,B1,g10,,
834,12.0,R Shot On,51:08:05,51:10:05,51:11:05,,B1,g10,s15,,,
835,60.0,R Grounded Pass,51:18:24,51:20:24,51:21:24,,B3,e7,B5,e11,,
836,61.0,R Grounded Pass,51:38:04,51:40:04,51:41:04,,G5,h6,TG,e4,,
837,62.0,R Grounded Pass,51:48:05,51:50:05,51:51:05,,TG,e12,G5,i9,,
838,63.0,R Grounded Pass,52:08:20,52:10:20,52:11:20,,B3,g2,TB,f4,,
839,64.0,R Grounded Pass,52:10:15,52:12:15,52:13:15,,TB,f4,B5,g6,,
840,65.0,R Grounded Pass,52:11:11,52:13:11,52:14:11,,B5,g6,TB,f6,,
841,66.0,R Grounded Pass,52:14:07,52:16:07,52:17:07,,B5,f6,B1,b3,,
842,15.0,R Unsucc Pass,52:16:08,52:18:08,52:19:08,,B1,b3,TB,g11,,
843,67.0,R Grounded Pass,52:19:08,52:21:08,52:22:08,,G5,i11,TG,e12,,
844,16.0,R Unsucc Pass,52:22:23,52:24:23,52:25:23,,TG,a6,G5,f4,,
845,68.0,R Grounded Pass,52:25:16,52:27:16,52:28:16,,B5,f9,B3,c10,,
846,3.0,R Shot Wide,52:29:11,52:31:11,52:32:11,,B3,c10,OT 8,,,
847,69.0,R Grounded Pass,52:45:23,52:47:23,52:48:23,,B5,h11,B3,e10,,
848,5.0,R Goal,52:47:09,52:49:09,52:50:09,,B3,e10,s23,,,
849,1.0,R Grounded Pass,42:39:14,42:41:14,42:42:14,,B5,h3,TB,h11,,
850,2.0,R Grounded Pass,43:05:18,43:07:18,43:08:18,,TB,i11,B4,g10,,
851,3.0,R Grounded Pass,43:12:03,43:14:03,43:15:03,,TB,h11,B5,b5,,
852,1.0,R Shot On,43:14:15,43:16:15,43:17:15,,B5,c3,s17,,,
853,4.0,R Grounded Pass,43:26:19,43:28:19,43:29:19,,B4,f11,B3,d8,,
854,5.0,R Grounded Pass,43:32:21,43:34:21,43:35:21,,B4,f6,B5,b2,,
855,1.0,L Unsucc Pass,43:34:14,43:36:14,43:37:14,,B5,b2,B3,f2,,
856,1.0,R Unsucc Pass,43:41:17,43:43:17,43:44:17,,TB,a11,B4,h5,,
857,6.0,R Grounded Pass,43:51:13,43:53:13,43:54:13,,TG,h6,G4,h3,,
858,7.0,R Grounded Pass,43:53:20,43:55:20,43:56:20,,G4,h5,TG,e10,,
859,1.0,R Shot Post,43:58:00,44:00:00,44:01:00,,G1,d11,s13,,,
860,1.0,L Grounded Pass,44:03:16,44:05:16,44:06:16,,B5,b11,B4,b5,,
861,1.0,R Shot Wide,44:06:14,44:08:14,44:09:14,,B4,b5,OT 7,,,
862,8.0,R Grounded Pass,44:13:20,44:15:20,44:16:20,,G4,d2,TG,e6,,
863,2.0,R Shot On,44:24:19,44:26:19,44:27:19,,B4,c2,s10,,,
864,9.0,R Grounded Pass,44:45:16,44:47:16,44:48:16,,TG,f10,G4,h12,,
865,1.0,R Aerial Pass,44:54:18,44:56:18,44:57:18,,B4,a5,TB,f1,Through Ball,
866,1.0,L Shot On,45:07:03,45:09:03,45:10:03,,B3,e5,s8,,,
867,2.0,R Unsucc Pass,45:17:12,45:19:12,45:20:12,,TG,f8,G4,g11,,
868,10.0,R Grounded Pass,45:31:07,45:33:07,45:34:07,,TB,h10,B4,e6,,
869,11.0,R Grounded Pass,45:54:13,45:56:13,45:57:13,,B4,a6,B5,e6,,
870,12.0,R Grounded Pass,45:57:14,45:59:14,46:00:14,,B5,d5,B3,e4,,
871,13.0,R Grounded Pass,45:58:19,46:00:19,46:01:19,,B3,e4,TB,g3,,
872,1.0,R Goal,46:05:06,46:07:06,46:08:15,,TG,c10,s8,Counter Attack,,
