indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6
108,58.0,R Grounded Pass,62:55:07,62:57:07,62:58:07,,B3,d10,TB,c11,,
109,6.0,L Unsucc Pass,63:05:21,63:07:21,63:08:21,,G2,h1,TG,h3,,
110,59.0,R Grounded Pass,63:07:18,63:09:18,63:10:18,,G2,h1,G4,h7,,
111,60.0,R Grounded Pass,63:10:00,63:12:00,63:13:00,,G4,h6,G2,g2,,
112,61.0,R Grounded Pass,63:11:20,63:13:20,63:14:20,,G2,h2,TG,d4,,
113,1.0,H Shot On,63:17:08,63:19:08,63:20:08,,G2,g2,s5,,,
114,62.0,R Grounded Pass,63:24:08,63:26:08,63:27:08,,B2,g10,TB,i7,,
115,63.0,R Grounded Pass,63:26:11,63:28:11,63:29:11,,TB,i6,B3,b4,,
116,64.0,R Grounded Pass,63:30:01,63:32:01,63:33:01,,B3,b5,TB,i7,,
117,3.0,L Goal,63:33:24,63:35:24,63:36:24,,TB,g7,s10,HLs,,
118,65.0,R Grounded Pass,63:39:11,63:41:11,63:42:11,,TG,e4,G2,g2,,
119,7.0,L Unsucc Pass,63:41:03,63:43:03,63:44:03,,G2,g2,TG,c3,,
120,66.0,R Grounded Pass,63:59:12,64:01:12,64:02:12,,TG,g3,G2,h2,,
121,4.0,L Shot On,63:59:24,64:01:24,64:02:24,,G2,g2,s15,,,
122,67.0,R Grounded Pass,64:13:07,64:15:07,64:16:07,,B3,b3,B5,e1,,
123,68.0,R Grounded Pass,64:14:04,64:16:04,64:17:04,,B5,e1,B2,c6,,
124,69.0,R Grounded Pass,64:19:21,64:21:21,64:22:21,,B2,b9,TB,e9,,
125,9.0,L Grounded Pass,64:22:17,64:24:17,64:25:17,,TB,e6,B3,b6,,
126,12.0,R Unsucc Pass,64:25:19,64:27:19,64:28:19,,B3,c8,B2,f10,,
127,8.0,L Unsucc Pass,64:29:13,64:31:13,64:32:13,,G2,f6,G4,b3,,
128,70.0,R Grounded Pass,64:48:05,64:50:05,64:51:05,,TB,e4,B2,f11,Through Ball,
129,71.0,R Grounded Pass,64:50:22,64:52:22,64:53:22,,B2,g10,TB,i10,,
130,6.0,R Shot On,65:22:12,65:24:12,65:25:12,,G3,g9,s4,,,
131,72.0,R Grounded Pass,65:25:20,65:27:20,65:28:20,,B3,d5,TB,c10,,
132,73.0,R Grounded Pass,65:33:11,65:35:11,65:36:11,,B3,a8,TB,c11,,
133,7.0,R Shot On,65:34:19,65:36:19,65:37:19,,TB,c11,s15,,,
134,10.0,L Grounded Pass,65:37:22,65:39:22,65:40:22,,B3,c8,TB,a9,,
135,1.0,Own Goal,65:44:23,65:46:23,65:47:23,,TB,h6,s21,Bloopers,,
136,13.0,R Unsucc Pass,65:53:19,65:55:19,65:56:19,,B3,c7,TB,b12,,
137,14.0,R Unsucc Pass,65:55:15,65:57:15,65:58:15,,B3,f9,TB,c11,,
138,74.0,R Grounded Pass,65:59:20,66:01:20,66:02:20,,TB,i6,B5,e1,,
139,75.0,R Grounded Pass,66:02:05,66:04:05,66:05:05,,B5,e1,B3,f6,,
140,9.0,L Unsucc Pass,66:03:23,66:05:23,66:06:23,,B3,f6,TB,c11,,
141,76.0,R Grounded Pass,66:07:10,66:09:10,66:10:10,,G4,f3,G2,c2,,
