indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6,shotXPrelim,shotYPrelim,shotX,shotY,goalpoint,distY,distX,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,prevD5,prevD6,prevCat,isThroughball,isGround,goalLoc,minute
167,10.0,R Goal,69:41:20,69:43:20,69:44:20,,TB,b3,s17,Long Range,nan,,b,3,2,10,0,10,3,10.44030650891055,73.30075576600638,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s17,69
175,11.0,R Goal,70:32:13,70:34:13,70:35:13,,G4,f1,s23,HLs,nan,,f,1,6,1,0,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,Through Ball,nan,R Grounded Pass,1,1,s23,70
180,1.0,R Goal,01:07:17,01:09:17,01:10:17,,TG,e10,s17,nan,nan,,e,10,5,10,13,3,0,3.0,90.0,1,1,1,0,0,0,0,Blunder,nan,R Unsucc Pass,0,0,s17,1
186,1.0,R Shot Wide,01:44:03,01:46:03,01:47:03,,TB,e1,OT 7,Big Chance,nan,,e,1,5,1,0,1,0,1.0,90.0,1,0,0,0,1,0,0,nan,nan,R Grounded Pass,0,1,OT 7,1
193,2.0,R Shot Wide,02:32:15,02:34:15,02:35:15,,B4,d2,OT 8,Big Chance,nan,,d,2,4,2,0,2,1,2.23606797749979,63.43494882292201,1,0,0,0,1,0,0,nan,nan,R Grounded Pass,0,1,OT 8,2
200,2.0,R Goal,03:13:03,03:15:03,03:16:03,,B3,g2,s22,Solo Goal,nan,,g,2,7,2,0,2,2,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s22,3
202,3.0,R Shot Wide,03:24:14,03:26:14,03:27:14,,G3,h10,OT 8,nan,nan,,h,10,8,10,13,3,3,4.242640687119285,45.00000000000001,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 8,3
212,1.0,R Shot On,04:07:17,04:09:17,04:10:17,,TG,e11,s10,nan,nan,,e,11,5,11,13,2,0,2.0,90.0,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s10,4
217,2.0,R Shot On,04:22:19,04:24:19,04:25:19,,B4,b2,s14,nan,nan,,b,2,2,2,0,2,3,3.605551275463989,33.69006752597979,1,1,0,0,0,0,0,nan,nan,L Grounded Pass,0,1,s14,4
220,1.0,R Shot Post,04:45:20,04:47:20,04:48:20,,B3,g2,s13,nan,nan,,g,2,7,2,0,2,2,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s13,4
223,3.0,R Goal,05:21:11,05:23:11,05:24:11,,B4,e2,s14,Solo Goal,nan,,e,2,5,2,0,2,0,2.0,90.0,1,1,1,0,0,0,0,nan,nan,L Unsucc Pass,0,0,s14,5
234,3.0,R Shot On,06:04:01,06:06:01,06:07:01,,G3,f11,s17,nan,nan,,f,11,6,11,13,2,1,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s17,6
236,4.0,R Goal,06:28:12,06:30:12,06:31:12,,TG,f12,s14,Big Chance,nan,,f,12,6,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,nan,nan,R Unsucc Pass,0,0,s14,6
248,4.0,R Shot Wide,07:31:03,07:33:03,07:34:03,,TG,d11,OT 1,Big Chance,nan,,d,11,4,11,13,2,1,2.23606797749979,63.43494882292201,1,0,0,0,1,0,0,nan,nan,R Grounded Pass,0,1,OT 1,7
250,5.0,R Goal,07:52:15,07:54:15,07:55:15,,TG,e12,s9,Big Chance,Tap In,,e,12,5,12,13,1,0,1.0,90.0,1,1,1,0,1,0,1,HLs,nan,L Grounded Pass,0,1,s9,7
252,5.0,R Shot Wide,08:07:14,08:09:14,08:10:14,,B4,f2,OT 8,nan,nan,,f,2,6,2,0,2,1,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 8,8
257,6.0,R Shot Wide,08:23:10,08:25:10,08:26:10,,TG,e12,OT 8,Big Chance,nan,,e,12,5,12,13,1,0,1.0,90.0,1,0,0,0,1,0,0,nan,nan,R Grounded Pass,0,1,OT 8,8
