,Des_1,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,isThroughball,goalLoc
488,G4,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s12
494,G4,4.242640687119285,45.00000000000001,1,1,1,0,0,0,0,0,s4
500,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s16
507,B4,5.0,90.0,1,1,0,0,0,0,0,0,s10
508,TG,1.0,90.0,1,1,1,0,0,0,0,0,s21
512,G2,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s9
513,G2,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s10
517,B4,3.605551275463989,33.69006752597979,1,0,0,0,0,0,0,0,OT 7
520,G2,5.385164807134504,68.19859051364821,1,0,0,0,0,0,0,0,OT 7
523,G2,5.385164807134504,68.19859051364821,1,1,0,0,0,0,0,0,s20
524,B4,5.0990195135927845,78.6900675259798,1,1,1,0,0,0,0,0,s16
527,TB,3.605551275463989,56.30993247402022,1,0,0,0,1,0,0,1,OT 1
533,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s13
534,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s17
536,B4,6.324555320336759,71.56505117707799,1,0,0,0,0,0,0,0,OT 8
538,B4,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s10
541,TG,7.0710678118654755,81.869897645844,1,1,1,0,0,0,0,0,s11
546,TG,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 3
548,B5,2.23606797749979,63.43494882292201,1,1,0,0,1,0,0,0,s22
549,B4,2.23606797749979,26.56505117707799,1,1,0,0,0,0,0,0,s4
570,TG,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s8
573,TB,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,1,0,s13
584,B6,5.0,36.86989764584402,1,0,0,0,0,0,0,0,OT 8
593,B4,4.47213595499958,63.43494882292201,1,0,0,0,0,0,0,0,OT 8
601,B4,6.082762530298219,80.53767779197439,1,1,0,0,0,0,0,0,s9
608,TB,1.0,90.0,1,1,1,0,0,0,0,0,s16
613,B4,5.0,36.86989764584402,1,1,0,0,0,0,0,0,s8
627,B4,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 5
632,B5,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s3
639,TB,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s8
643,TB,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s10
649,G5,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s20
650,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s22
660,B2,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s16
671,TG,7.0710678118654755,81.869897645844,1,1,1,0,0,0,0,0,s23
677,B2,5.830951894845301,59.03624346792647,1,1,0,0,0,0,0,0,s16
679,TB,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s14
689,B2,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s23
691,B2,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s13
692,B2,3.605551275463989,33.69006752597979,1,1,0,0,0,0,0,0,s11
698,G5,5.830951894845301,59.03624346792647,1,0,0,0,0,0,0,0,OT 5
699,TG,2.8284271247461903,44.99999999999999,1,1,0,1,0,0,0,0,s17
702,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s9
705,TG,3.0,90.0,1,1,1,0,0,0,0,0,s21
707,TG,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s14
709,G5,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s11
710,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s24
713,G5,7.211102550927978,56.30993247402022,1,0,0,0,0,0,0,0,OT 4
716,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s20
718,G5,5.385164807134504,68.19859051364821,1,0,0,0,0,0,0,0,OT 4
720,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s21
727,TG,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 8
736,B4,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s14
739,B3,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s11
741,B3,4.47213595499958,63.43494882292201,1,0,0,0,0,0,0,0,OT 8
742,B4,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s16
748,G5,3.0,90.0,1,1,1,0,0,0,0,0,s19
759,G4,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s8
762,B4,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 7
763,B4,4.123105625617661,75.96375653207352,1,1,0,0,0,0,0,0,s15
765,G5,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,1,s16
766,G5,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s19
775,TG,2.0,90.0,1,1,1,0,0,0,0,0,s16
783,B3,4.123105625617661,75.96375653207352,1,1,0,0,0,0,0,0,s10
788,B1,5.0990195135927845,78.6900675259798,1,1,0,0,0,0,0,0,s16
795,B5,3.605551275463989,56.30993247402022,1,1,0,0,1,0,0,0,s8
800,B3,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s18
801,G4,1.4142135623730951,44.99999999999999,1,0,0,0,0,0,0,0,s18
809,G5,2.23606797749979,63.43494882292201,1,1,0,0,1,0,0,1,s16
824,G3,6.324555320336759,71.56505117707799,1,1,0,0,0,0,0,0,s9
